query,positive,negative,language,domain
query: Write a formal email asking for salary raise after 1 year review,"passage: Express appreciation for your time at the company, highlight your key accomplishments over the past year with metrics, request a meeting to discuss your compensation, and thank your manager for their consideration.","passage: When accepting a job offer, confirm your starting date, state your enthusiasm for the role, and ask if any additional onboarding documents are required before your first day.",en,email_writing
query: cold email to recruiter for software engineer position,"passage: Start with a brief greeting and state the specific position you are interested in. Highlight 2-3 relevant skills or major achievements, attach your resume, and express enthusiasm for a quick conversation.","passage: When declining a job offer, thank the recruiter for the opportunity, state politely that you accepted another role, and offer to stay connected on professional networks.",en,email_writing
query: apology mail for missing project deadline yesterday sorry,"passage: Acknowledge the delay directly without making excessive excuses. Explain the revised completion timeline, detail the steps you are taking to fix the delay, and sincerely apologize for the inconvenience caused to the team.","passage: To request a project deadline extension, email your supervisor before the deadline passes, explain the roadblock clearly, and propose a realistic new completion date.",en,email_writing
query: follow up mail after interview no response for 1 week,"passage: Reiterate your interest in the position and company. Politely ask if there are any updates regarding the hiring process, and mention that you are available if they need any further information from your end.","passage: After completing a second-round interview, send a prompt thank-you note highlighting a specific topic discussed during the call and restate how your skills align with the team.",en,email_writing
query: resignation mail format with 2 weeks notice period,"passage: State clearly your decision to resign and your final working day based on your notice period. Express gratitude for the opportunities provided, and offer to assist with the handover of your responsibilities.","passage: To request an employment verification letter for loan approval, email the HR department with your employee ID and specify the required details to be included.",en,email_writing
query: catchy subject lines for sales outreach email,"passage: Effective sales subject lines should be concise, personalized, and create curiosity or urgency. Examples include addressing a specific pain point directly or asking a quick relevant question instead of sounding spammy.","passage: When writing an internal newsletter subject line, summarize the main update clearly and include the month or department name so employees know what to expect.",en,email_writing
query: how to politely say as per my previous email in professional tone?,"passage: Rather than using passive-aggressive phrases like as per my previous email, try phrases such as as mentioned below, reattaching the information for convenience, or following up on our earlier note.","passage: To politely decline an unreasonable work request, explain your current bandwidth constraints, offer an alternative timeline, or suggest prioritizing tasks with your supervisor.",en,email_writing
query: email to client asking for overdue invoice payment politely,"passage: Reference the invoice number and original due date. Attach a copy of the invoice, gently remind them that payment is past due, and provide clear payment instructions or contact details if they have questions.","passage: When sending a price increase notice to existing clients, provide ample advance notice, explain the value improvements justifying the change, and thank them for their continued partnership.",en,email_writing
query: weekly status report mail template to client,"passage: Structure the status email with clear bullet points covering work completed this week, upcoming deliverables for next week, current project risks or blockers, and key metrics achieved.","passage: When introducing a new project team member to a client, highlight their role, summary of background expertise, and how they will be supporting the account moving forward.",en,email_writing
query: professional way to request work from home for 2 days,"passage: Clearly specify the dates you plan to work remotely. Assure your manager that you will be fully accessible during work hours, detail your planned tasks, and mention how team collaboration will continue seamlessly.","passage: To request emergency personal leave, notify your supervisor immediately, provide brief necessary context, and outline who will handle urgent operational tasks during your absence.",en,email_writing
